SK_ID_CURR,TARGET
100001,0.03508661914888335
100005,0.11449687184212497
100013,0.021244022415116488
100028,0.027645066898348124
100038,0.18787018803684755
100042,0.06056273468168114
100057,0.02067046827072898
100065,0.03600049396818773
100066,0.021544219218441414
100067,0.12992274609097648
100074,0.04883020647954395
100090,0.05780824352273623
100091,0.2034022937451842
100092,0.07003864098920849
100106,0.03802207255368544
100107,0.14407148310220735
100109,0.06494122197715982
100117,0.036457506660103015
100128,0.11680776818206576
100141,0.024210287353970645
100150,0.044036562241879476
100168,0.020948310259162273
100169,0.04229420711878158
100170,0.10591981270991262
100171,0.04647578940618222
100172,0.07866112514017312
100184,0.10734833870461434
100187,0.1051775471419158
100212,0.028664991874931902
100222,0.05463052174392237
100223,0.024987777823186622
100232,0.012743874118126719
100241,0.1617573873197764
100245,0.020199898737590757
100253,0.02232619895019087
100256,0.12898248339825888
100271,0.013978891608614426
100278,0.25539637135979143
100280,0.020521701433519314
100306,0.16643173645337453
100311,0.15309605597526618
100312,0.01813320200010998
100330,0.07478473777835536
100331,0.0280151148112288
100352,0.09897714650584163
100358,0.08421989695037545
100367,0.022895651313417295
100382,0.1877253834550633
100384,0.09123894881408026
100385,0.06854202735294299
100386,0.0486940463142479
100399,0.021466414715944897
100404,0.04424215472204341
100416,0.02866796726260076
100422,0.0695047989959803
100426,0.03730357467557371
100438,0.03496692087741024
100444,0.14356943051598298
100445,0.19648070261338738
100446,0.14940132846793516
100447,0.0199209371072783
100450,0.15733556892687978
100466,0.020233388475668714
100483,0.031969111378083594
100484,0.016250132833920718
100494,0.05703922117366685
100510,0.1663719553767919
100512,0.015700076388145398
100517,0.043309654272534116
100548,0.044650266831061346
100551,0.06116231497235149
100552,0.08381070233054792
100553,0.03402187941043563
100561,0.1035650848865024
100568,0.5453251780142659
100569,0.011775113826864927
100591,0.06904082113437465
100592,0.025878298149465104
100602,0.06274011417869295
100607,0.0495529830743591
100613,0.055562927525099795
100617,0.12507233808002735
100618,0.15433566915432792
100622,0.09476826017211464
100625,0.08909988055397694
100677,0.09716694130037339
100699,0.03487486535125948
100702,0.3565610990192544
100711,0.07004765596030824
